,year participation,gallery city,gallery name,,,,,,link
Art Dubai Modern,2024,Kyiv / Miami,Voloshyn Gallery,Fedir Tetianych,Ukraine,1942,,,<https://www.artdubai.ae/gallery/voloshyn-modern-2024/>
Art Dubai Modern,2025,Beirut,Agial Art Gallery,Nabil Kanso; Burhan Karkutly,Lebanon,1940,Syria 1932,,<https://www.artdubai.ae/gallery/agial-art-gallery-2025/>
Art Dubai Modern,2025,Mumbai / New Delhi / New York,DAG,Maqbool Fida Husain,India,1915,,,<https://www.artdubai.ae/gallery/dag/>
Art Dubai Modern,2025,Beirut / New York / Paris,Mark Hachem,Dario Perez Flores; Alfred Basbous; Hussein Madi,Venezuela,1936;,Lebanon 1924, Lebanon '1928,<https://www.artdubai.ae/gallery/mark-hachem/>
Art Dubai Modern,2025,Dubai / New York,Leila Heller Gallery,Bahman Mohasses,Iran,1931,,,<https://www.artdubai.ae/gallery/leila-heller-gallery/>
Art Dubai Modern,2025,Dubai,Lawrie Shabibi,Mehdi Moutashar,Iraq,1943,,,<https://www.artdubai.ae/gallery/lawrie-shabibi-modern/>
Art Dubai Modern,2025,Dubai,Meem Gallery,New Vision Group,Iraq,1930s - 1970s,,,<https://www.artdubai.ae/gallery/meem/>
Art Dubai Modern,2025,Ramallah,Gallery One,Laila Shawa,Palestine,1940,,,<https://www.artdubai.ae/gallery/gallery-one/>
Art Dubai Modern,2025,London / New York / Rome,Richard Saltoun,Bertina Lopes,Mozambique,1924,,,<https://www.artdubai.ae/gallery/richard-saltoun/>
Art Dubai Modern,2025,London,Vigo,Ibrahim El-Salahi,Sudan,1930,,,<https://www.artdubai.ae/gallery/vigo-modern/>
