section,year participation,gallery city,gallery name,link
Art Dubai Contemporary,2023,Seoul,Keumsan Gallery,<https://www.artdubai.ae/gallery/keumsan-gallery-2023/>
Art Dubai Contemporary,2023,Lagos,kó,<https://www.artdubai.ae/gallery/ko-2023/>
Art Dubai Contemporary,2023,Mainz / Venice,Gallery Dr. Dorothea van der Koelen,<https://www.artdubai.ae/gallery/galerie-dorothea-van-der-koelen-2023/>
Art Dubai Contemporary,2023,Vienna,Galerie Krinzinger,<https://www.artdubai.ae/gallery/galerie-krinzinger-2023/>
Art Dubai Contemporary,2023,New Delhi,Latitude 28,<https://www.artdubai.ae/gallery/latitude-28-2023/>
Art Dubai Contemporary,2023,Dubai,Lawrie Shabibi,<https://www.artdubai.ae/gallery/lawrie-shabibi-2023/>
Art Dubai Contemporary,2023,Lisbon,Madragoa,<https://www.artdubai.ae/gallery/madragoa-2023/>
Art Dubai Contemporary,2023,Brussels / Knokke / Zavantem,MARUANI MERCIER,<https://www.artdubai.ae/gallery/maruani-mercier-2023/>
Art Dubai Contemporary,2023,Salzburg,Mario Mauroner Contemporary Art,<https://www.artdubai.ae/gallery/mario-mauroner-contemporary-art-2023/>
Art Dubai Contemporary,2023,London / Turin,MAZZOLENI,<https://www.artdubai.ae/gallery/mazzoleni-2023/>
Art Dubai Contemporary,2023,Dubai,Meem Gallery,<https://www.artdubai.ae/gallery/meem-gallery-2023/>
Art Dubai Contemporary,2023,London,October Gallery,<https://www.artdubai.ae/gallery/october-gallery-2023/>
Art Dubai Contemporary,2023,Ramallah,Gallery One,<https://www.artdubai.ae/gallery/gallery-one-2023/>
Art Dubai Contemporary,2023,Bologna,P420,<https://www.artdubai.ae/gallery/p420-2023/>
Art Dubai Contemporary,2023,Dubai / Hong Kong / New York,Perrotin,<https://www.artdubai.ae/gallery/perrotin-2023/>
Art Dubai Contemporary,2023,Turin,Giorgio Persano,<https://www.artdubai.ae/gallery/giorgio-persano-2023/>
Art Dubai Contemporary,2023,Buenos Aires,Piedras,<https://www.artdubai.ae/gallery/piedras-2023/>
Art Dubai Contemporary,2023,Istanbul,PILEVNELI,<https://www.artdubai.ae/gallery/pilevneli-2023/>
Art Dubai Contemporary,2023,Capri / Milan,Plan X,<https://www.artdubai.ae/gallery/plan-x-2023/>
Art Dubai Contemporary,2023,Mumbai,Project 88,<https://www.artdubai.ae/gallery/project-88-2023/>
Art Dubai Contemporary,2023,London,RONCHINI,<https://www.artdubai.ae/gallery/ronchini-gallery-2023/>
Art Dubai Contemporary,2023,Istanbul,SANATORIUM,<https://www.artdubai.ae/gallery/sanatorium-2023/>
