Tezos USD (XTZ-USD) CCC - CoinMarketCap. Currency in USD,,,,,,
Date,Open,High,Low,Close*,Adj Close**,Volume
"Oct 07, 2019",0.876,0.9242,0.8678,0.9067,0.9067,"16,375,621"
"Oct 06, 2019",0.9123,0.9138,0.8724,0.8769,0.8769,"12,691,818"
"Oct 05, 2019",0.9233,0.9241,0.9022,0.9125,0.9125,"13,070,972"
"Oct 04, 2019",0.9349,0.9357,0.9017,0.9233,0.9233,"14,953,450"
"Oct 03, 2019",0.9438,0.9657,0.9173,0.9353,0.9353,"11,184,781"
"Oct 02, 2019",0.9538,0.9538,0.8937,0.9432,0.9432,"17,174,252"
"Oct 01, 2019",0.9042,0.9975,0.8988,0.9536,0.9536,"13,349,266"
"Sep 30, 2019",0.8881,0.9184,0.8539,0.9035,0.9035,"15,800,572"
"Sep 29, 2019",0.8934,0.9168,0.8695,0.8879,0.8879,"11,871,749"
"Sep 28, 2019",0.8954,0.9166,0.8688,0.8937,0.8937,"9,062,006"
"Sep 27, 2019",0.8509,0.8999,0.8244,0.8954,0.8954,"17,459,138"
"Sep 26, 2019",0.8544,0.9135,0.8214,0.8514,0.8514,"12,848,761"
"Sep 25, 2019",0.8891,0.9093,0.819,0.855,0.855,"24,468,658"
"Sep 24, 2019",1.0545,1.0929,0.8525,0.8926,0.8926,"25,188,778"
"Sep 23, 2019",1.0544,1.1443,1.0234,1.0541,1.0541,"18,341,225"
"Sep 22, 2019",1.0714,1.0767,1.0475,1.0553,1.0553,"8,594,941"
"Sep 21, 2019",1.0611,1.0753,1.056,1.0724,1.0724,"13,990,523"
"Sep 20, 2019",1.1018,1.1136,1.0524,1.0619,1.0619,"14,160,437"
"Sep 19, 2019",1.0917,1.1191,1.0338,1.1017,1.1017,"12,359,739"
"Sep 18, 2019",1.0945,1.1479,1.0907,1.0907,1.0907,"11,962,787"
"Sep 17, 2019",1.0023,1.1045,0.9973,1.0956,1.0956,"10,580,481"
"Sep 16, 2019",1.0028,1.0077,0.9855,1.0027,1.0027,"7,211,469"
"Sep 15, 2019",1.0021,1.0218,0.9886,1.003,1.003,"9,925,484"
"Sep 14, 2019",0.9772,1.0129,0.9619,1.0021,1.0021,"8,114,227"
"Sep 13, 2019",1.0084,1.0156,0.9571,0.9755,0.9755,"9,376,392"
"Sep 12, 2019",1.0065,1.0175,0.9938,1.0093,1.0093,"9,235,470"
"Sep 11, 2019",1.0226,1.0292,0.995,1.0063,1.0063,"8,953,230"
"Sep 10, 2019",1.0413,1.0448,1.0164,1.0233,1.0233,"9,247,187"
"Sep 09, 2019",1.0646,1.1054,1.0325,1.0412,1.0412,"11,308,139"
"Sep 08, 2019",1.0295,1.0751,1.021,1.0654,1.0654,"10,251,627"
"Sep 07, 2019",0.999,1.0441,0.9774,1.0292,1.0292,"13,451,858"
"Sep 06, 2019",1.0143,1.0302,0.9931,1.0002,1.0002,"11,010,600"
"Sep 05, 2019",1.0347,1.0429,1.0035,1.0143,1.0143,"9,221,482"
"Sep 04, 2019",1.0423,1.0431,1.0174,1.033,1.033,"8,758,988"
"Sep 03, 2019",1.0578,1.0695,1.0297,1.0431,1.0431,"11,137,913"
"Sep 02, 2019",1.0309,1.0796,1.0271,1.0567,1.0567,"9,758,386"
"Sep 01, 2019",1.0455,1.0572,1.0138,1.0322,1.0322,"8,250,825"
"Aug 31, 2019",1.066,1.0801,1.007,1.0414,1.0414,"10,847,063"
"Aug 30, 2019",0.9982,1.0688,0.9916,1.0649,1.0649,"10,015,534"
"Aug 29, 2019",1.0518,1.0677,0.9962,0.9982,0.9982,"14,710,732"
"Aug 28, 2019",1.1285,1.1321,1.041,1.0507,1.0507,"9,878,622"
"Aug 27, 2019",1.1603,1.1721,1.1213,1.1283,1.1283,"8,137,996"
"Aug 26, 2019",1.142,1.1774,1.1312,1.159,1.159,"8,943,795"
"Aug 25, 2019",1.1489,1.1643,1.1327,1.1419,1.1419,"7,996,369"
"Aug 24, 2019",1.1721,1.1753,1.1187,1.1489,1.1489,"9,414,392"
"Aug 23, 2019",1.1392,1.1964,1.1324,1.1697,1.1697,"9,906,828"
"Aug 22, 2019",1.1182,1.154,1.0988,1.1392,1.1392,"8,824,747"
"Aug 21, 2019",1.1606,1.163,1.0994,1.1182,1.1182,"11,809,364"
"Aug 20, 2019",1.214,1.2175,1.1592,1.1606,1.1606,"6,759,399"
"Aug 19, 2019",1.2036,1.2425,1.1959,1.2137,1.2137,"7,024,532"
"Aug 18, 2019",1.1922,1.2416,1.1818,1.2029,1.2029,"5,300,851"
"Aug 17, 2019",1.2192,1.2208,1.1725,1.1921,1.1921,"4,859,686"
"Aug 16, 2019",1.2228,1.2321,1.1433,1.2191,1.2191,"8,512,652"
"Aug 15, 2019",1.1649,1.2544,1.0489,1.2232,1.2232,"13,913,968"
"Aug 14, 2019",1.2564,1.2818,1.155,1.1647,1.1647,"10,844,927"
"Aug 13, 2019",1.3623,1.3712,1.256,1.256,1.256,"10,432,675"
"Aug 12, 2019",1.3762,1.3872,1.3604,1.3623,1.3623,"8,575,614"
"Aug 11, 2019",1.3931,1.407,1.3732,1.3758,1.3758,"8,402,166"
"Aug 10, 2019",1.4333,1.4402,1.3623,1.393,1.393,"11,888,934"
"Aug 09, 2019",1.5531,1.5619,1.3716,1.4333,1.4333,"23,985,476"
"Aug 08, 2019",1.3513,1.7253,1.3446,1.5505,1.5505,"36,246,315"
"Aug 07, 2019",1.4712,1.482,1.3511,1.3513,1.3513,"11,480,552"
"Aug 06, 2019",1.4606,1.6012,1.366,1.4711,1.4711,"19,160,485"
"Aug 05, 2019",1.4367,1.4959,1.3509,1.461,1.461,"12,705,167"
"Aug 04, 2019",1.4272,1.4939,1.3986,1.437,1.437,"9,783,266"
"Aug 03, 2019",1.4296,1.4646,1.3754,1.4278,1.4278,"9,722,877"
"Aug 02, 2019",1.405,1.4719,1.3661,1.4303,1.4303,"11,664,836"
"Aug 01, 2019",1.2685,1.4461,1.2457,1.4038,1.4038,"12,828,552"
"Jul 31, 2019",1.2185,1.2948,1.2095,1.2687,1.2687,"11,125,338"
"Jul 30, 2019",1.0133,1.2683,1.003,1.2207,1.2207,"14,364,108"
"Jul 29, 2019",1.0158,1.0422,1.0067,1.0137,1.0137,"5,208,906"
"Jul 28, 2019",1.0148,1.0222,0.9833,1.0146,1.0146,"4,624,413"
"Jul 27, 2019",1.0405,1.0562,0.9924,1.0154,1.0154,"4,429,452"
"Jul 26, 2019",1.0305,1.0424,1.0067,1.0405,1.0405,"4,974,709"
"Jul 25, 2019",1.006,1.0581,0.9994,1.0302,1.0302,"4,803,954"
"Jul 24, 2019",1.0695,1.1322,0.9846,1.0096,1.0096,"9,097,802"
"Jul 23, 2019",1.12,1.12,1.0012,1.0695,1.0695,"6,062,974"
"Jul 22, 2019",1.0775,1.1542,1.0775,1.1203,1.1203,"7,020,084"
"Jul 21, 2019",1.0425,1.1565,0.9828,1.0769,1.0769,"7,885,431"
"Jul 20, 2019",0.9806,1.0585,0.976,1.0421,1.0421,"5,404,137"
"Jul 19, 2019",0.9754,0.9868,0.9306,0.9822,0.9822,"4,603,820"
"Jul 18, 2019",0.92,0.9913,0.9145,0.9754,0.9754,"5,468,334"
"Jul 17, 2019",0.8628,0.9451,0.8343,0.9198,0.9198,"5,971,580"
"Jul 16, 2019",0.9708,0.979,0.8385,0.8588,0.8588,"6,473,433"
"Jul 15, 2019",0.936,1.0187,0.8895,0.9718,0.9718,"6,354,067"
"Jul 14, 2019",0.9975,1.0181,0.9263,0.9369,0.9369,"3,976,188"
"Jul 13, 2019",1.0779,1.0904,0.9497,0.9973,0.9973,"6,033,426"
"Jul 12, 2019",1.0155,1.0818,0.9963,1.0784,1.0784,"5,490,410"
"Jul 11, 2019",1.1805,1.1886,1.0116,1.0141,1.0141,"6,027,839"
"Jul 10, 2019",1.2212,1.253,1.1552,1.1799,1.1799,"6,717,291"
"Jul 09, 2019",1.2247,1.2481,1.1563,1.222,1.222,"6,828,247"
"Jul 08, 2019",1.1975,1.2295,1.1662,1.2249,1.2249,"5,921,756"
"Jul 07, 2019",1.2196,1.2302,1.1514,1.1975,1.1975,"6,059,511"
"Jul 06, 2019",1.2847,1.2933,1.2006,1.2186,1.2186,"6,465,615"
"Jul 05, 2019",1.2075,1.2859,1.1967,1.282,1.282,"6,854,996"
"Jul 04, 2019",1.2428,1.304,1.1409,1.2081,1.2081,"10,289,849"
"Jul 03, 2019",1.0121,1.2923,1.0121,1.2439,1.2439,"15,837,964"
"Jul 02, 2019",0.9195,1.0806,0.8615,1.0125,1.0125,"7,635,184"
"Jul 01, 2019",0.9341,0.9593,0.862,0.9195,0.9195,"6,028,770"
"Jun 30, 2019",1.0311,1.0498,0.9118,0.9341,0.9341,"6,748,029"
"Jun 29, 2019",1.0133,1.0405,0.9532,1.0328,1.0328,"7,264,458"
"Jun 28, 2019",0.9795,1.0833,0.9757,1.0122,1.0122,"6,776,169"
"Jun 27, 2019",1.0855,1.1134,0.9202,0.9786,0.9786,"8,510,764"
"Jun 26, 2019",1.1033,1.1638,1.0409,1.0855,1.0855,"11,735,069"
"Jun 25, 2019",1.1632,1.1761,1.0663,1.1033,1.1033,"8,186,039"
"Jun 24, 2019",1.1911,1.1938,1.1367,1.1628,1.1628,"5,656,100"
"Jun 23, 2019",1.2266,1.2599,1.1887,1.1911,1.1911,"5,118,426"
"Jun 22, 2019",1.1716,1.2611,1.1394,1.2271,1.2271,"10,229,269"
"Jun 21, 2019",1.1308,1.2169,1.1303,1.1729,1.1729,"6,892,837"
"Jun 20, 2019",1.199,1.2067,1.0726,1.13,1.13,"9,498,107"
"Jun 19, 2019",1.2277,1.2499,1.1763,1.2,1.2,"6,385,426"
"Jun 18, 2019",1.3314,1.3525,1.2194,1.2273,1.2273,"6,767,405"
"Jun 17, 2019",1.2922,1.3467,1.2827,1.3302,1.3302,"6,246,080"
"Jun 16, 2019",1.245,1.2974,1.2427,1.2925,1.2925,"5,700,414"
"Jun 15, 2019",1.226,1.2616,1.2104,1.245,1.245,"5,245,296"
"Jun 14, 2019",1.2754,1.2856,1.2026,1.2272,1.2272,"5,899,459"
"Jun 13, 2019",1.2661,1.3008,1.2481,1.2756,1.2756,"5,019,616"
"Jun 12, 2019",1.281,1.2889,1.2252,1.2664,1.2664,"5,044,644"
"Jun 11, 2019",1.2985,1.306,1.2207,1.2811,1.2811,"4,552,928"
"Jun 10, 2019",1.226,1.3106,1.2132,1.2989,1.2989,"4,923,599"
"Jun 09, 2019",1.2619,1.2797,1.1917,1.2271,1.2271,"4,224,513"
"Jun 08, 2019",1.3187,1.3266,1.2356,1.2621,1.2621,"4,411,334"
"Jun 07, 2019",1.3288,1.4178,1.3085,1.3199,1.3199,"5,561,432"
"Jun 06, 2019",1.183,1.3703,1.1633,1.3284,1.3284,"8,384,631"
"Jun 05, 2019",1.2145,1.2379,1.1382,1.1835,1.1835,"8,880,765"
"Jun 04, 2019",1.3856,1.3873,1.1522,1.2138,1.2138,"9,926,834"
"Jun 03, 2019",1.5132,1.5132,1.3833,1.3908,1.3908,"5,727,266"
"Jun 02, 2019",1.4729,1.5575,1.4693,1.513,1.513,"5,045,491"
"Jun 01, 2019",1.5083,1.5127,1.4692,1.4729,1.4729,"5,251,971"
"May 31, 2019",1.4861,1.5198,1.4287,1.5079,1.5079,"6,548,130"
"May 30, 2019",1.5911,1.6803,1.4562,1.4861,1.4861,"10,738,553"
"May 29, 2019",1.5839,1.6039,1.5617,1.5905,1.5905,"6,348,191"
"May 28, 2019",1.6464,1.6485,1.5788,1.5817,1.5817,"5,946,047"
"May 27, 2019",1.6644,1.6952,1.6221,1.6499,1.6499,"5,149,919"
"May 26, 2019",1.568,1.6692,1.5165,1.665,1.665,"5,990,545"
"May 25, 2019",1.5787,1.6039,1.5571,1.568,1.568,"3,666,087"
"May 24, 2019",1.6238,1.6336,1.5643,1.5787,1.5787,"4,654,673"
"May 23, 2019",1.5539,1.6255,1.4767,1.6246,1.6246,"5,817,208"
"May 22, 2019",1.6499,1.6606,1.5504,1.5542,1.5542,"5,317,375"
"May 21, 2019",1.6616,1.6727,1.6354,1.65,1.65,"3,214,384"
"May 20, 2019",1.8337,1.8337,1.6286,1.6619,1.6619,"6,782,919"
"May 19, 2019",1.6399,1.8342,1.6354,1.8331,1.8331,"7,564,102"
"May 18, 2019",1.6681,1.7338,1.6375,1.6398,1.6398,"5,957,965"
"May 17, 2019",1.7056,1.7705,1.5372,1.6681,1.6681,"13,498,055"
"May 16, 2019",1.7849,1.8343,1.6305,1.705,1.705,"11,915,320"
"May 15, 2019",1.4725,1.7833,1.4725,1.7833,1.7833,"13,496,925"
"May 14, 2019",1.3299,1.4731,1.2985,1.4731,1.4731,"8,335,135"
"May 13, 2019",1.2224,1.3775,1.2181,1.33,1.33,"9,070,011"
"May 12, 2019",1.2672,1.3206,1.1941,1.2224,1.2224,"6,995,488"
"May 11, 2019",1.1135,1.3172,1.1117,1.2731,1.2731,"8,999,765"
"May 10, 2019",1.1039,1.1677,1.0862,1.1137,1.1137,"5,489,153"
"May 09, 2019",1.1711,1.1932,1.0855,1.104,1.104,"5,487,324"
"May 08, 2019",1.2019,1.203,1.1426,1.1711,1.1711,"5,312,444"
"May 07, 2019",1.2104,1.2687,1.2025,1.2039,1.2039,"4,336,628"
"May 06, 2019",1.1638,1.2292,1.1414,1.2109,1.2109,"4,966,399"
"May 05, 2019",1.2088,1.2089,1.1543,1.1625,1.1625,"3,979,244"
"May 04, 2019",1.3107,1.3156,1.1541,1.2079,1.2079,"5,378,794"
