airport_id,city,name,latitude,longitude,country,iata,icao,altitude,altitude,timezone,dst,tz
2455,Catamarca,Catamarca Airport,-28.59560013,-65.75170136,Argentina,CTC,SANC,1522,-3,N,America/Catamarca,airport
2471,Iguazu Falls,Cataratas Del Iguazú International Airport,-25.73730087,-54.47340012,Argentina,IGR,SARI,916,-3,N,America/Cordoba,airport
2444,Gobernador Gordillo,Chamical Airport,-30.34530067,-66.29360198,Argentina,\N,SACT,1502,-3,N,America/Argentina/La_Rioja,airport
2459,Chilecito,Chilecito Airport,-29.22389984,-67.43890381,Argentina,\N,SANO,3099,-3,N,America/Argentina/La_Rioja,airport
2450,Chosmadal,Chos Malal Airport,-37.44469833,-70.22250366,Argentina,\N,SAHC,2788,-3,N,America/Argentina/Salta,airport
2501,Bahia Blanca,Comandante Espora Airport,-38.725,-62.1693,Argentina,BHI,SAZB,246,-3,N,America/Buenos_Aires,airport
2453,Malargue,Comodoro D.R. Salomón Airport,-35.49359894,-69.57430267,Argentina,LGS,SAMM,4685,-3,N,America/Mendoza,airport
2511,Pehuajo,Comodoro Pedro Zanni Airport,-35.8446,-61.8576,Argentina,\N,SAZP,278,-3,N,America/Buenos_Aires,airport
2436,Concordia,Comodoro Pierrestegui Airport,-31.2969,-57.9966,Argentina,COC,SAAC,112,-3,N,America/Cordoba,airport
2468,Corrientes,Corrientes Airport,-27.4455,-58.7619,Argentina,CNQ,SARC,202,-3,N,America/Cordoba,airport
2485,Curuzu Cuatia,Curuzu Cuatia Airport,-29.7706,-57.9789,Argentina,\N,SATU,229,-3,N,America/Cordoba,airport
2516,Cutralco,Cutral-Co Airport,-38.93970108,-69.26460266,Argentina,\N,SAZW,2132,-3,N,America/Argentina/Salta,airport
7311,Alto Rio Senguer,D. Casimiro Szlapelis Airport,-45.013599,-70.812202,Argentina,ARR,SAVR,2286,-3,N,America/Catamarca,airport
2461,San Julian,Domingo Faustino Sarmiento Airport,-31.571501,-68.418198,Argentina,UAQ,SANU,1958,-3,N,America/Argentina/San_Juan,airport
2451,Fuerte Gral Roca,Dr. Arturo H. Illia Airport,-39.0007019,-67.62049866,Argentina,\N,SAHR,852,-3,N,America/Argentina/Salta,airport
2486,El Bolson,El Bolson Airport,-41.94319916,-71.53230286,Argentina,EHL,SAVB,1141,-3,N,America/Argentina/Salta,airport
4061,El Calafate,El Calafate Airport,-50.2803,-72.053101,Argentina,FTE,SAWC,669,-3,N,America/Argentina/Rio_Gallegos,airport
2481,El Dorado,El Dorado Airport,-26.39749908,-54.5746994,Argentina,\N,SATD,685,-3,N,America/Cordoba,airport
2449,El Palomar,El Palomar Airport,-34.6099,-58.6126,Argentina,\N,SADP,59,-3,N,America/Buenos_Aires,airport
2452,Mendoza,El Plumerillo Airport,-32.83169937,-68.79290009,Argentina,MDZ,SAME,2310,-3,N,America/Mendoza,airport
2492,Puerto Madryn,El Tehuelche Airport,-42.7592,-65.1027,Argentina,PMY,SAVY,427,-3,N,America/Catamarca,airport
2470,Formosa,Formosa Airport,-26.2127,-58.2281,Argentina,FMA,SARF,193,-3,N,America/Cordoba,airport
2487,Comodoro Rivadavia,General E. Mosconi Airport,-45.7853,-67.4655,Argentina,CRD,SAVC,189,-3,N,America/Catamarca,airport
6027,Tartagal,General Enrique Mosconi Airport,-22.6196003,-63.79370117,Argentina,TTG,SAST,1472,-3,N,America/Argentina/Salta,airport
2504,General Pico,General Pico Airport,-35.69620132,-63.75830078,Argentina,\N,SAZG,459,-3,N,America/Argentina/Salta,airport
2439,Parana,General Urquiza Airport,-31.7948,-60.4804,Argentina,PRA,SAAP,242,-3,N,America/Cordoba,airport
2491,Viedma,Gobernador Castello Airport,-40.8692,-63.0004,Argentina,VDM,SAVV,20,-3,N,America/Argentina/Salta,airport
6031,Gobernador Gregores,Gobernador Gregores Airport,-48.78310013,-70.15000153,Argentina,GGS,SAWR,356,-3,N,America/Argentina/Rio_Gallegos,airport
2477,Jujuy,Gobernador Horacio Guzman International Airport,-24.39279938,-65.09780121,Argentina,JUJ,SASJ,3019,-3,N,America/Jujuy,airport
2482,Goya,Goya Airport,-29.1058,-59.2189,Argentina,\N,SATG,128,-3,N,America/Cordoba,airport
2437,Gualeguaychu,Gualeguaychu Airport,-33.0103,-58.6131,Argentina,GHU,SAAG,75,-3,N,America/Cordoba,airport
2495,Rio Grande,Hermes Quijada International Airport,-53.7777,-67.7494,Argentina,RGA,SAWE,65,-3,N,America/Argentina/Ushuaia,airport
2514,Tandil,Héroes De Malvinas Airport,-37.23740005,-59.22790146,Argentina,TDL,SAZT,574,-3,N,America/Buenos_Aires,airport
2443,Cordoba,Ingeniero Ambrosio Taravella Airport,-31.32360077,-64.20800018,Argentina,COR,SACO,1604,-3,N,America/Cordoba,airport
2440,Rosario,Islas Malvinas Airport,-32.9036,-60.785,Argentina,ROS,SAAR,85,-3,N,America/Cordoba,airport
2442,Buenos Aires,Jorge Newbery Airpark,-34.5592,-58.4156,Argentina,AEP,SABE,18,-3,N,America/Buenos_Aires,airport
7312,Jose de San Martin,Jose De San Martin Airport,-44.04859924,-70.45890045,Argentina,JSM,SAWS,2407,-3,N,America/Catamarca,airport
2438,Junin,Junin Airport,-34.5459,-60.9306,Argentina,\N,SAAJ,262,-3,N,America/Buenos_Aires,airport
2447,La Plata,La Plata Airport,-34.9722,-57.8947,Argentina,LPG,SADL,72,-3,N,America/Buenos_Aires,airport
2464,Laboulaye,La Quiaca Airport,-22.15060043,-65.57749939,Argentina,\N,SAOL,11414,-3,N,America/Jujuy,airport
2479,La Quiaca,Laboulaye Airport,-34.13539886,-63.36230087,Argentina,\N,SASQ,449,-3,N,America/Cordoba,airport
6030,El Calafate,Lago Argentino Airport,-50.336102,-72.248596,Argentina,ING,SAWA,732,-3,N,America/Argentina/Rio_Gallegos,airport
6028,Las Heras,Las Heras Airport,-46.53829956,-68.96530151,Argentina,LHS,SAVH,1082,-3,N,America/Argentina/Rio_Gallegos,airport
2474,Posadas,Libertador Gral D Jose De San Martin Airport,-27.3858,-55.9707,Argentina,PSS,SARP,430,-3,N,America/Cordoba,airport
2497,Ushuaia,Malvinas Argentinas Airport,-54.8433,-68.2958,Argentina,USH,SAWH,102,-3,N,America/Argentina/Ushuaia,airport
2465,Marcos Juarez,Marcos Juarez Airport,-32.6836,-62.1578,Argentina,\N,SAOM,360,-3,N,America/Cordoba,airport
2446,Jose C. Paz,Mariano Moreno Airport,-34.5606,-58.7896,Argentina,\N,SADJ,105,-3,N,America/Buenos_Aires,airport
2476,Salta,Martin Miguel De Guemes International Airport,-24.8560009,-65.48619843,Argentina,SLA,SASA,4088,-3,N,America/Argentina/Salta,airport
3988,Buenos Aires,Ministro Pistarini International Airport,-34.8222,-58.5358,Argentina,EZE,SAEZ,67,-3,N,America/Buenos_Aires,airport
