lumbung membersartists,country,venue,"type  (individual, collective,)","status  (invited artist,guest artist, guest collaborator)",number of guests,invited by / invited as part of,comments/ subproject,website,role (harvester),guests
Nguyễn Đình Phương,,,individual,guest artist,,Nhà Sàn Collective,,,,
Nguyễn Đình Phương,,,individual,guest artist,,Nhà Sàn Collective,,,,
Nguyen Duc Tuong,,,individual,guest artist,,Nhà Sàn Collective,,,,
Nguyễn Hoàng Anh,,,individual,guest artist,,Nhà Sàn Collective,,,,
Nguyễn Hữu Hải Duy,,,individual,guest artist,,Nhà Sàn Collective,,,,
Nguyễn Kiều Anh,,,individual,guest artist,,Nhà Sàn Collective,,,,
Nguyễn Mạnh Đức,,,individual,guest artist,,Nhà Sàn Collective,,,,
Nguyễn Nhật Quang,,,individual,guest artist,,Nhà Sàn Collective,,,,
Nguyễn Phương Kiều Anh,,,individual,guest artist,,Nhà Sàn Collective,,,,
Nguyễn Phương Linh,,,individual,guest artist,,Nhà Sàn Collective,,,,
Nguyễn Quốc Thành,,,individual,guest artist,,Nhà Sàn Collective,,,,
Nguyễn Thanh Tâm,,,individual,guest artist,,Nhà Sàn Collective,,,,
Nguyễn Thị Diệp,,,individual,guest artist,,Nhà Sàn Collective,,,,
Nguyễn Thị Thu Hằng,,,individual,guest artist,,Nhà Sàn Collective,,,,
Nguyễn Thủy Tiên,,,individual,guest artist,,Nhà Sàn Collective,,,,
Nguyễn Trần Nam,,,individual,guest artist,,Nhà Sàn Collective,,,,
Nguyễn Trinh Thi,,,individual,guest artist,,Nhà Sàn Collective,,,,
Nguyễn Văn Thuỷ,,,individual,guest artist,,Nhà Sàn Collective,,,,
Nhi Lê,,,individual,guest artist,,Nhà Sàn Collective,,,,
Phạm Hải,,,individual,guest artist,,Nhà Sàn Collective,,,,
Phan Đông Thái,,,individual,guest artist,,Nhà Sàn Collective,,,,
"Phụ Lục (Nguyễn Huy An, Ngô Thành Bắc, Vũ Đức Toàn)",,,individual,guest artist,,Nhà Sàn Collective,,,,
Phùng Tiến Sơn with Giáo phường Kim Đức,,,individual,guest artist,,Nhà Sàn Collective,,,,
Quang Quang,,,individual,guest artist,,Nhà Sàn Collective,,,,
Quynh Dong,,,individual,guest artist,,Nhà Sàn Collective,,,,
Taey Iohe and Cian Dayrit,,,individual,guest artist,,Nhà Sàn Collective,,,,
Trần Trung Hiếu,,,individual,guest artist,,Nhà Sàn Collective,,,,
Trương Quế Chi,,,individual,guest artist,,Nhà Sàn Collective,,,,
Tuấn Mami with Fami Farm,,,individual,guest artist,,Nhà Sàn Collective,,,,
Vân Đỗ,,,individual,guest artist,,Nhà Sàn Collective,,,,
Youngsook Choi,,,individual,guest artist,,Nhà Sàn Collective,,,,
Đỗ Thanh Lãng,,,individual,guest artist,,Nhà Sàn Collective,Sao La Collective,,,
Nguyễn Đức Đạt,,,individual,guest artist,,Nhà Sàn Collective,Sao La Collective,,,
Nguyễn Kim Tố Lan,,,individual,guest artist,,Nhà Sàn Collective,Sao La Collective,,,
Trampoline House,Denmark,Hubner areal/ Sandershaus/Haferkakaofabrik,collective,invited artist,,ruanrupa,,<https://documenta-fifteen.de/en/lumbung-members-artists/trampoline-house/>,,
Carlota Mir,,,individual,guest artist,,Trampoline House,,,,
Dady de Maximo Mwicira-Mitali,,,individual,guest artist,,Trampoline House,,,,
Fedaa Sultan (from Oct. 2020–Dec. 2021),,,individual,guest artist,,Trampoline House,,,,
Helene Grøn,,,individual,guest artist,,Trampoline House,,,,
Jean Claude Mangomba,,,individual,guest artist,,Trampoline House,,,,
Joachim Hamou,,,individual,guest artist,,Trampoline House,,,,
Khalid Albaih,,,individual,guest artist,,Trampoline House,,,,
Morten Goll,,,individual,guest artist,,Trampoline House,,,,
Muhannad Al Ulaby,,,individual,guest artist,,Trampoline House,,,,
Sara Alberani,,,individual,guest artist,,Trampoline House,,,,
Shakira Kasigwa Mukamusoni,,,individual,guest artist,,Trampoline House,,,,
Tone Olaf Nielsen,,,individual,guest artist,,Trampoline House,,,,
visAvis,,,individual,guest artist,,Trampoline House,,,,
Yong Sun Gullach (from Oct. 2020–Dec. 2021),,,individual,guest artist,,Trampoline House,,,,
Instituto de Artivismo Hannah Arendt,Cuba,documenta Halle,collective,invited artist,,ruanrupa,,<https://documenta-fifteen.de/en/lumbung-members-artists/instituto-de-artivismo-hannah-arendt/>,,
Tania Bruguera,,,individual,guest artist,,Instituto de Artivismo Hannah Arendt,,,,
Carlos Cárdenas Cárdenas,,,individual,guest artist,,Instituto de Artivismo Hannah Arendt,,,,
Chris,,,individual,guest artist,,Instituto de Artivismo Hannah Arendt,,,,
Aminta D’Cardenas,,,individual,guest artist,,Instituto de Artivismo Hannah Arendt,,,,
Gretell Domenech,,,individual,guest artist,,Instituto de Artivismo Hannah Arendt,,,,
Solveig Front,,,individual,guest artist,,Instituto de Artivismo Hannah Arendt,,,,
Anaeli Ibarra,,,individual,guest artist,,Instituto de Artivismo Hannah Arendt,,,,
Hamlet Lavastida Lavastida,,,individual,guest artist,,Instituto de Artivismo Hannah Arendt,,,,
Camila Lobon,,,individual,guest artist,,Instituto de Artivismo Hannah Arendt,,,,
Leila Montero,,,individual,guest artist,,Instituto de Artivismo Hannah Arendt,,,,
Claudia Patricia Olivera,,,individual,guest artist,,Instituto de Artivismo Hannah Arendt,,,,
Leonardo Otaño,,,individual,guest artist,,Instituto de Artivismo Hannah Arendt,,,,
Ulises Padrón,,,individual,guest artist,,Instituto de Artivismo Hannah Arendt,,,,
Juliana Rabelo,,,individual,guest artist,,Instituto de Artivismo Hannah Arendt,,,,
Marta Maria Ramirez,,,individual,guest artist,,Instituto de Artivismo Hannah Arendt,,,,
Alice Yard,Trinidad,Grimmwelt Kassel/Trafohaus/WH22,collective,invited artist,,ruanrupa,,<https://documenta-fifteen.de/en/lumbung-members-artists/alice-yard/>,,
Ada M. Patterson,,,individual,guest artist,,Alice Yard,,,,
Amanda Hernandez,,,individual,guest artist,,Alice Yard,,,,
Blue Curry,,,individual,guest artist,,Alice Yard,,,,
Bruce Cayonne,,,individual,guest artist,,Alice Yard,,,,
Cass’Mosha Amoroso-Centeno,,,individual,guest artist,,Alice Yard,,,,
Christopher Cozier,,,individual,guest artist,,Alice Yard,,,,
Co-rd Ltd.,,,individual,guest artist,,Alice Yard,,,,
Gwladys Gambie,,,individual,guest artist,,Alice Yard,,,,
Karyn Olivier,,,individual,guest artist,,Alice Yard,,,,
Kriston Chen,,,individual,guest artist,,Alice Yard,,,,
Luis Vasquez La Roche,,,individual,guest artist,,Alice Yard,,,,
Michelle Eistrup,,,individual,guest artist,,Alice Yard,,,,
Nicholas Laughlin,,,individual,guest artist,,Alice Yard,,,,
Nicole Delgado,,,individual,guest artist,,Alice Yard,,,,
Oneika Russel,,,individual,guest artist,,Alice Yard,,,,
Raquel Vasquez La Roche,,,individual,guest artist,,Alice Yard,,,,
Razia Barsatie,,,individual,guest artist,,Alice Yard,,,,
Sean Leonard,,,individual,guest artist,,Alice Yard,,,,
Shannon Alonzo,,,individual,guest artist,,Alice Yard,,,,
Tessa Mars,,,individual,guest artist,,Alice Yard,,,,
Versia Harris,,,individual,guest artist,,Alice Yard,,,,
*foundation­Class*­collective,Germany,Hafenstrasse 76 / Fridericianum,collective,invited artist,,ruanrupa,,<https://documenta-fifteen.de/en/lumbung-members-artists/foundationclasscollective/>,,
Fadi Aljabour,,,individual,guest artist,,*foundation­Class*­collective,Artist list,,,
Ulf Aminde,,,individual,guest artist,,*foundation­Class*­collective,Artist list,,,
Anwar Al Atrash,,,individual,guest artist,,*foundation­Class*­collective,Artist list,,,
Susan Azizi,,,individual,guest artist,,*foundation­Class*­collective,Artist list,,,
Yemisi Babatola,,,individual,guest artist,,*foundation­Class*­collective,Artist list,,,
Carolyn Amora Bosco,,,individual,guest artist,,*foundation­Class*­collective,Artist list,,,
Mohamad Halbouni,,,individual,guest artist,,*foundation­Class*­collective,Artist list,,,
Nadira Husain,,,individual,guest artist,,*foundation­Class*­collective,Artist list,,,
Ali Kaaf,,,individual,guest artist,,*foundation­Class*­collective,Artist list,,,
Katharina Kersten,,,individual,guest artist,,*foundation­Class*­collective,Artist list,,,
Cẩm-Anh Lương,,,individual,guest artist,,*foundation­Class*­collective,Artist list,,,
Abiye Okujagu,,,individual,guest artist,,*foundation­Class*­collective,Artist list,,,
Krishan Rajapakshe,,,individual,guest artist,,*foundation­Class*­collective,Artist list,,,
Miriam Schickler,,,individual,guest artist,,*foundation­Class*­collective,Artist list,,,
Hatef Soltani,,,individual,guest artist,,*foundation­Class*­collective,Artist list,,,
Vera Varlamova,,,individual,guest artist,,*foundation­Class*­collective,Artist list,,,
Noureddin Yassin,,,individual,guest artist,,*foundation­Class*­collective,Artist list,,,
Mc3BArts,,,individual,guest artist,,*foundation­Class*­collective,Artist list,,,
Mohanad Alsneeh,,,individual,guest artist,,*foundation­Class*­collective,Contributors,,,
Osamah Abouzor,,,individual,guest artist,,*foundation­Class*­collective,Contributors,,,
Mayada Al Kayal,,,individual,guest artist,,*foundation­Class*­collective,Contributors,,,
Mahmoud Ismail,,,individual,guest artist,,*foundation­Class*­collective,Contributors,,,
Richard Khaldon,,,individual,guest artist,,*foundation­Class*­collective,Contributors,,,
Batoul Sedawi,,,individual,guest artist,,*foundation­Class*­collective,Contributors,,,
Sultan Yousif,,,individual,guest artist,,*foundation­Class*­collective,Contributors,,,
Boaz Murinzi,,,individual,guest artist,,*foundation­Class*­collective,Contributors,,,
Khaled Mzher,,,individual,guest artist,,*foundation­Class*­collective,Contributors,,,
Rena Onat,,,individual,guest artist,,*foundation­Class*­collective,Contributors,,,
Aref Torkaman (RIP),,,individual,guest artist,,*foundation­Class*­collective,Contributors,,,
Marina Naprushkina,,,individual,guest artist,,*foundation­Class*­collective,Contributors,,,
Max Grau,,,individual,guest artist,,*foundation­Class*­collective,Contributors,,,
Bora Yediel,,,individual,guest artist,,*foundation­Class*­collective,Contributors,,,
Stefan Daraban,,,individual,guest artist,,*foundation­Class*­collective,Minicar,,,
Ogün Kebapçı,,,individual,guest artist,,*foundation­Class*­collective,Minicar,,,
Yalçın Alay,,,individual,guest artist,,*foundation­Class*­collective,Minicar,,,
Özdemir Adid,,,individual,guest artist,,*foundation­Class*­collective,Minicar,,,
Selim Çakır,,,individual,guest artist,,*foundation­Class*­collective,Minicar,,,
Hüseyin Çakır,,,individual,guest artist,,*foundation­Class*­collective,Minicar,,,
Hasan Çakır,,,individual,guest artist,,*foundation­Class*­collective,Minicar,,,
Doğru Şükrü,,,individual,guest artist,,*foundation­Class*­collective,Minicar,,,
Agus Nur Amal PMTOH,Indonesia,Grimmwelt Kassel,individual,invited artist,,ruanrupa,,<https://documenta-fifteen.de/en/lumbung-members-artists/agus-nur-amal-pmtoh/>,,
Adji Utomo,,,individual,guest artist,,Agus Nur Amal PMTOH,lumbung Story Gudskul,,,
Aldino,,,individual,guest artist,,Agus Nur Amal PMTOH,lumbung Story Gudskul,,,
Arie “ABG”,,,individual,guest artist,,Agus Nur Amal PMTOH,lumbung Story Gudskul,,,
Budi “Bungen” Mulia,,,individual,guest artist,,Agus Nur Amal PMTOH,lumbung Story Gudskul,,,
Doni Busatwego,,,individual,guest artist,,Agus Nur Amal PMTOH,lumbung Story Gudskul,,,
Dwi “Ube” Wicaksono Suryasumirat,,,individual,guest artist,,Agus Nur Amal PMTOH,lumbung Story Gudskul,,,
Greistina Kusumaningrum,,,individual,guest artist,,Agus Nur Amal PMTOH,lumbung Story Gudskul,,,
Hady Suharyadi,,,individual,guest artist,,Agus Nur Amal PMTOH,lumbung Story Gudskul,,,
Indriatma Sitorus,,,individual,guest artist,,Agus Nur Amal PMTOH,lumbung Story Gudskul,,,
Jufi Iqbal (Suara Djaya),,,individual,guest artist,,Agus Nur Amal PMTOH,lumbung Story Gudskul,,,
Mushowir,,,individual,guest artist,,Agus Nur Amal PMTOH,lumbung Story Gudskul,,,
Nissal “Lindung” Nur Afryansah,,,individual,guest artist,,Agus Nur Amal PMTOH,lumbung Story Gudskul,,,
Novi Elisa Surya,,,individual,guest artist,,Agus Nur Amal PMTOH,lumbung Story Gudskul,,,
Nugraha Salim,,,individual,guest artist,,Agus Nur Amal PMTOH,lumbung Story Gudskul,,,
Oshan Nurisa,,,individual,guest artist,,Agus Nur Amal PMTOH,lumbung Story Gudskul,,,
Panji “Jin” Purnama Putra,,,individual,guest artist,,Agus Nur Amal PMTOH,lumbung Story Gudskul,,,
Rino Aditia,,,individual,guest artist,,Agus Nur Amal PMTOH,lumbung Story Gudskul,,,
Salman Hanief,,,individual,guest artist,,Agus Nur Amal PMTOH,lumbung Story Gudskul,,,
Topan “Opang” Darmawan,,,individual,guest artist,,Agus Nur Amal PMTOH,lumbung Story Gudskul,,,
Wiratama,,,individual,guest artist,,Agus Nur Amal PMTOH,lumbung Story Gudskul,,,
Wiratama,,,individual,guest artist,,Agus Nur Amal PMTOH,lumbung Story Gudskul,,,
Gesyada Siregar,,,individual,guest artist,,Agus Nur Amal PMTOH,lumbung Story Gudskul,,,
JJ Adibrata,,,individual,guest artist,,Agus Nur Amal PMTOH,lumbung Story Gudskul,,,
Libby Davitri,,,individual,guest artist,,Agus Nur Amal PMTOH,lumbung Story Gudskul,,,
MG Pringgotono,,,individual,guest artist,,Agus Nur Amal PMTOH,lumbung Story Gudskul,,,
Adji Utomo,,,individual,guest artist,,Agus Nur Amal PMTOH,lumbung Story Jatiwangi art Factory,,,
Ahmad sujai,,,individual,guest artist,,Agus Nur Amal PMTOH,lumbung Story Jatiwangi art Factory,,,
Aldizar Ahmad Ghifari,,,individual,guest artist,,Agus Nur Amal PMTOH,lumbung Story Jatiwangi art Factory,,,
Alma Noxa,,,individual,guest artist,,Agus Nur Amal PMTOH,lumbung Story Jatiwangi art Factory,,,
Anzar “Aaf” Agung Fauzan,,,individual,guest artist,,Agus Nur Amal PMTOH,lumbung Story Jatiwangi art Factory,,,
Arie Syarifudin (Al Ghorie),,,individual,guest artist,,Agus Nur Amal PMTOH,lumbung Story Jatiwangi art Factory,,,
Arief Yudi Rahman,,,individual,guest artist,,Agus Nur Amal PMTOH,lumbung Story Jatiwangi art Factory,,,
Bayu Edmanda,,,individual,guest artist,,Agus Nur Amal PMTOH,lumbung Story Jatiwangi art Factory,,,
Bunga Siagian,,,individual,guest artist,,Agus Nur Amal PMTOH,lumbung Story Jatiwangi art Factory,,,
Dadang Sugiyarto,,,individual,guest artist,,Agus Nur Amal PMTOH,lumbung Story Jatiwangi art Factory,,,
Dedeh Marwiah,,,individual,guest artist,,Agus Nur Amal PMTOH,lumbung Story Jatiwangi art Factory,,,
Deden Imanudin,,,individual,guest artist,,Agus Nur Amal PMTOH,lumbung Story Jatiwangi art Factory,,,
Diah Mardiah,,,individual,guest artist,,Agus Nur Amal PMTOH,lumbung Story Jatiwangi art Factory,,,
Doni Busatwego,,,individual,guest artist,,Agus Nur Amal PMTOH,lumbung Story Jatiwangi art Factory,,,
El Gea,,,individual,guest artist,,Agus Nur Amal PMTOH,lumbung Story Jatiwangi art Factory,,,
Ginggi Syarif Hasyim,,,individual,guest artist,,Agus Nur Amal PMTOH,lumbung Story Jatiwangi art Factory,,,
Greistina Kusumaningrum,,,individual,guest artist,,Agus Nur Amal PMTOH,lumbung Story Jatiwangi art Factory,,,
Ibu Darmini,,,individual,guest artist,,Agus Nur Amal PMTOH,lumbung Story Jatiwangi art Factory,,,
Ibu Nia Mardiyani,,,individual,guest artist,,Agus Nur Amal PMTOH,lumbung Story Jatiwangi art Factory,,,
Illa Syukrillah Syarif,,,individual,guest artist,,Agus Nur Amal PMTOH,lumbung Story Jatiwangi art Factory,,,
Ismal Muntaha,,,individual,guest artist,,Agus Nur Amal PMTOH,lumbung Story Jatiwangi art Factory,,,
Kiki Permana,,,individual,guest artist,,Agus Nur Amal PMTOH,lumbung Story Jatiwangi art Factory,,,
Libby Davitri,,,individual,guest artist,,Agus Nur Amal PMTOH,lumbung Story Jatiwangi art Factory,,,
Aldino,,,individual,guest artist,,Agus Nur Amal PMTOH,lumbung Story Jatiwangi art Factory,,,
Mikayanti Engkus,,,individual,guest artist,,Agus Nur Amal PMTOH,lumbung Story Jatiwangi art Factory,,,
Mini Rukmini,,,individual,guest artist,,Agus Nur Amal PMTOH,lumbung Story Jatiwangi art Factory,,,
Miningsih,,,individual,guest artist,,Agus Nur Amal PMTOH,lumbung Story Jatiwangi art Factory,,,
Mushowir,,,individual,guest artist,,Agus Nur Amal PMTOH,lumbung Story Jatiwangi art Factory,,,
Nissan “Landung” Nur Afryansah,,,individual,guest artist,,Agus Nur Amal PMTOH,lumbung Story Jatiwangi art Factory,,,
Nugraha Salim,,,individual,guest artist,,Agus Nur Amal PMTOH,lumbung Story Jatiwangi art Factory,,,
Oshan Nurisa,,,individual,guest artist,,Agus Nur Amal PMTOH,lumbung Story Jatiwangi art Factory,,,
Panji “Jin” Purnama Putra,,,individual,guest artist,,Agus Nur Amal PMTOH,lumbung Story Jatiwangi art Factory,,,
Rino Aditia,,,individual,guest artist,,Agus Nur Amal PMTOH,lumbung Story Jatiwangi art Factory,,,
Rohanah,,,individual,guest artist,,Agus Nur Amal PMTOH,lumbung Story Jatiwangi art Factory,,,
Salman hanief,,,individual,guest artist,,Agus Nur Amal PMTOH,lumbung Story Jatiwangi art Factory,,,
Suni,,,individual,guest artist,,Agus Nur Amal PMTOH,lumbung Story Jatiwangi art Factory,,,
Tedi En,,,individual,guest artist,,Agus Nur Amal PMTOH,lumbung Story Jatiwangi art Factory,,,
Uun Unayah,,,individual,guest artist,,Agus Nur Amal PMTOH,lumbung Story Jatiwangi art Factory,,,
Wiratama,,,individual,guest artist,,Agus Nur Amal PMTOH,lumbung Story Jatiwangi art Factory,,,
Yati Sumiati,,,individual,guest artist,,Agus Nur Amal PMTOH,lumbung Story Jatiwangi art Factory,,,
Tritangtu,,,individual,guest artist,,Agus Nur Amal PMTOH,lumbung Story Jatiwangi art Factory,,,
Agung M. Abul,,,individual,guest artist,,Agus Nur Amal PMTOH,*Gerak-Gerak Pictures*,,,
Ary “Jimged” Sendy,,,individual,guest artist,,Agus Nur Amal PMTOH,*Gerak-Gerak Pictures*,,,
Bopik,,,individual,guest artist,,Agus Nur Amal PMTOH,*Gerak-Gerak Pictures*,,,
Budi “Bungen” Mulia,,,individual,guest artist,,Agus Nur Amal PMTOH,*Gerak-Gerak Pictures*,,,
Budi Setiawan,,,individual,guest artist,,Agus Nur Amal PMTOH,*Gerak-Gerak Pictures*,,,
Greistina Kusumaningrum,,,individual,guest artist,,Agus Nur Amal PMTOH,*Gerak-Gerak Pictures*,,,
Julian Riezky,,,individual,guest artist,,Agus Nur Amal PMTOH,*Gerak-Gerak Pictures*,,,
Libby Davitri,,,individual,guest artist,,Agus Nur Amal PMTOH,*Gerak-Gerak Pictures*,,,
Muhammad Revaldi,,,individual,guest artist,,Agus Nur Amal PMTOH,*Gerak-Gerak Pictures*,,,
Pani,,,individual,guest artist,,Agus Nur Amal PMTOH,*Gerak-Gerak Pictures*,,,
Saleh Hussein,,,individual,guest artist,,Agus Nur Amal PMTOH,*Gerak-Gerak Pictures*,,,
Uju,,,individual,guest artist,,Agus Nur Amal PMTOH,*Gerak-Gerak Pictures*,,,
Agung ‘Abul’,,,individual,guest artist,,Agus Nur Amal PMTOH,Cast:,,,
Ani,,,individual,guest artist,,Agus Nur Amal PMTOH,Cast:,,,
Bahar,,,individual,guest artist,,Agus Nur Amal PMTOH,Cast:,,,
Dian,,,individual,guest artist,,Agus Nur Amal PMTOH,Cast:,,,
Dika,,,individual,guest artist,,Agus Nur Amal PMTOH,Cast:,,,
Elsa,,,individual,guest artist,,Agus Nur Amal PMTOH,Cast:,,,
Enjen,,,individual,guest artist,,Agus Nur Amal PMTOH,Cast:,,,
Eros,,,individual,guest artist,,Agus Nur Amal PMTOH,Cast:,,,
Faris,,,individual,guest artist,,Agus Nur Amal PMTOH,Cast:,,,
Iin,,,individual,guest artist,,Agus Nur Amal PMTOH,Cast:,,,
Johani,,,individual,guest artist,,Agus Nur Amal PMTOH,Cast:,,,
Mang Edie,,,individual,guest artist,,Agus Nur Amal PMTOH,Cast:,,,
Neti,,,individual,guest artist,,Agus Nur Amal PMTOH,Cast:,,,
Nur,,,individual,guest artist,,Agus Nur Amal PMTOH,Cast:,,,
Rohani,,,individual,guest artist,,Agus Nur Amal PMTOH,Cast:,,,
Santi,,,individual,guest artist,,Agus Nur Amal PMTOH,Cast:,,,
Sari,,,individual,guest artist,,Agus Nur Amal PMTOH,Cast:,,,
Teti,,,individual,guest artist,,Agus Nur Amal PMTOH,Cast:,,,
Uju,,,individual,guest artist,,Agus Nur Amal PMTOH,Cast:,,,
Uun,,,individual,guest artist,,Agus Nur Amal PMTOH,Cast:,,,
Wiiwin,,,individual,guest artist,,Agus Nur Amal PMTOH,Cast:,,,
Yati,,,individual,guest artist,,Agus Nur Amal PMTOH,Cast:,,,
Arief Atto,,,individual,guest artist,,Agus Nur Amal PMTOH,Mechanic Object,,,
Fathan Mubin,,,individual,guest artist,,Agus Nur Amal PMTOH,Mechanic Object,,,
Aldino,,,individual,guest artist,,Agus Nur Amal PMTOH,Mechanic Object,,,
Oshan Nurisa,,,individual,guest artist,,Agus Nur Amal PMTOH,Mechanic Object,,,
Putra Hidayatullah,,,individual,guest artist,,Agus Nur Amal PMTOH,Mechanic Object,,,
INLAND,Spain,Museum of Natural History Ottoneum,collective,invited artist,28,ruanrupa,,<https://documenta-fifteen.de/en/lumbung-members-artists/inland/>,,
Miguel “El Pajarito”,,,individual,guest artist,,INLAND,,,,
Sabina Aguilera,,,individual,guest artist,,INLAND,,,,
Rubén Alonso,,,individual,guest artist,,INLAND,,,,
Juan Casillas,,,individual,guest artist,,INLAND,,,,
Vienne Chan,,,individual,guest artist,,INLAND,,,,
Franz de Hamilton,,,individual,guest artist,,INLAND,,,,
Alvaro Fierro,,,individual,guest artist,,INLAND,,,,
Yona Friedman,,,individual,guest artist,,INLAND,,,,
Max Gmür,,,individual,guest artist,,INLAND,,,,
Eugénie Goldstern,,,individual,guest artist,,INLAND,,,,
Oscar Hagerman,,,individual,guest artist,,INLAND,,,,
Peter Hodgson,,,individual,guest artist,,INLAND,,,,
R. R. Hofmann,,,individual,guest artist,,INLAND,,,,
Manolo Hugué,,,individual,guest artist,,INLAND,,,,
Ugo La Pietra,,,individual,guest artist,,INLAND,,,,
LASA,,,collective,guest artist,,INLAND,,,,
Carl Lumholtz,,,individual,guest artist,,INLAND,,,,
Sofia Mariscal,,,individual,guest artist,,INLAND,,,,
Johann Melchior Roos,,,individual,guest artist,,INLAND,,,,
You Mi,,,individual,guest artist,,INLAND,,,,
Fernando Moro,,,individual,guest artist,,INLAND,,,,
José Ortiz Echagüe,,,individual,guest artist,,INLAND,,,,
Jaakko Pallasvuo,,,individual,guest artist,,INLAND,,,,
Tom Philipson,,,individual,guest artist,,INLAND,,,,
Tito Rivas,,,individual,guest artist,,INLAND,,,,
Marth Sitánachi,,,individual,guest artist,,INLAND,,,,
Susana Velasco,,,individual,guest artist,,INLAND,,,,
Bedwyr Williams,,,individual,guest artist,,INLAND,,,,
Gudskul,Indonesia,Fridericianum,collective,invited artist,38,ruanrupa,,<https://documenta-fifteen.de/en/lumbung-members-artists/gudskul/>,,
Arab Theatre Studio,,,individual,guest artist,,Gudskul,,,,
Asia Art Archive,,,individual,guest artist,,Gudskul,,,,
Ba Bau Air,,,individual,guest artist,,Gudskul,,,,
Bishkek School of Contemporary Art,,,individual,guest artist,,Gudskul,,,,
blaxTARLINES KUMASI,,,individual,guest artist,,Gudskul,,,,
Ekstrak Kolektif,,,individual,guest artist,,Gudskul,,,,
El Warcha,,,individual,guest artist,,Gudskul,,,,
Essbare Stadt,,,individual,guest artist,,Gudskul,,,,
Feinmechanik,,,individual,guest artist,,Gudskul,,,,
Floating Project,,,individual,guest artist,,Gudskul,,,,
Game Department Kunsthochschule Kassel,,,individual,guest artist,,Gudskul,,,,
Grafis Huru Hara,,,individual,guest artist,,Gudskul,,,,
Gud RnD,,,individual,guest artist,,Gudskul,,,,
Hysteria,,,individual,guest artist,,Gudskul,,,,
Infazio,,,individual,guest artist,,Gudskul,,,,
Lifepatch,,,individual,guest artist,,Gudskul,,,,
Load Na Dito,,,individual,guest artist,,Gudskul,,,,
Nordland kunst- og filmhøgskole,,,individual,guest artist,,Gudskul,,,,
Omni Space,,,individual,guest artist,,Gudskul,,,,
Pangrok Sulap,,,individual,guest artist,,Gudskul,,,,
Pari,,,individual,guest artist,,Gudskul,,,,
PAYON,,,individual,guest artist,,Gudskul,,,,
PSS Duren,,,individual,guest artist,,Gudskul,,,,
Salikhain,,,individual,guest artist,,Gudskul,,,,
Sandy Lo,,,individual,guest artist,,Gudskul,,,,
Scutoid Coop,,,individual,guest artist,,Gudskul,,,,
Serrum,,,individual,guest artist,,Gudskul,,,,
Stäedelschule,,,individual,guest artist,,Gudskul,,,,
Stuffo Labs,,,individual,guest artist,,Gudskul,,,,
Sudut Kalisat,,,individual,guest artist,,Gudskul,,,,
Tenthaus,,,individual,guest artist,,Gudskul,,,,
TIGA (Tindakan Gerak Asuh),,,individual,guest artist,,Gudskul,,,,
Tokonoma,,,individual,guest artist,,Gudskul,,,,
UnconditionalDesign,,,individual,guest artist,,Gudskul,,,,
Yao Jui Chung,,,individual,guest artist,,Gudskul,,,,
Yayasan Tonjo Foundation,,,individual,guest artist,,Gudskul,,,,
Graziela Kunsch,Brazil,Fridericianum,individual,invited artist,40,ruanrupa,,<https://documenta-fifteen.de/en/lumbung-members-artists/graziela-kunsch/>,,
Ágnes Sorossy,,,individual,guest artist,,Graziela Kunsch,,,,
Ateliê Arte Educação e Movimento (Suzana Macedo Soares),,,individual,guest artist,,Graziela Kunsch,,,,
Ateliê Carambola,,,individual,guest artist,,Graziela Kunsch,,,,
Ateliê Vivo (Andrea Guerra),,,individual,guest artist,,Graziela Kunsch,,,,
Barbara Lackner,,,individual,guest artist,,Graziela Kunsch,,,,
Bernd Busse,,,individual,guest artist,,Graziela Kunsch,,,,
Bruno Oliveira,,,individual,guest artist,,Graziela Kunsch,,,,
Carmen Orofino,,,individual,guest artist,,Graziela Kunsch,,,,
Casa do Povo,,,individual,guest artist,,Graziela Kunsch,,,,
Cooperativa Emprendedoras Sin Fronteras,,,individual,guest artist,,Graziela Kunsch,,,,
Deborah Salles,,,individual,guest artist,,Graziela Kunsch,,,,
Ecosimple,,,individual,guest artist,,Graziela Kunsch,,,,
Elke Avenarius,,,individual,guest artist,,Graziela Kunsch,,,,
Fabricio Remigio,,,individual,guest artist,,Graziela Kunsch,,,,
Flávia Lobo de Felício,,,individual,guest artist,,Graziela Kunsch,,,,
Francisca Lima,,,individual,guest artist,,Graziela Kunsch,,,,
Gabriela Cherubini,,,individual,guest artist,,Graziela Kunsch,,,,
Gabriela Feruglio,,,individual,guest artist,,Graziela Kunsch,,,,
Guilherme Teixeira,,,individual,guest artist,,Graziela Kunsch,,,,
Jamac – Jardim Miriam Arte Clube (Beatriz Tone),,,individual,guest artist,,Graziela Kunsch,,,,
Josiane Pareja,,,individual,guest artist,,Graziela Kunsch,,,,
Khadyg Fares,,,individual,guest artist,,Graziela Kunsch,,,,
Kleine Entdecker Kinderkrippe,,,individual,guest artist,,Graziela Kunsch,,,,
Kokomoo Spielsachen,,,individual,guest artist,,Graziela Kunsch,,,,
Larissa Meneghini,,,individual,guest artist,,Graziela Kunsch,,,,
Manuela Leite,,,individual,guest artist,,Graziela Kunsch,,,,
Maria Luiza de Meneses,,,individual,guest artist,,Graziela Kunsch,,,,
Michaela Brüning-Lilienfeldt,,,individual,guest artist,,Graziela Kunsch,,,,
