lumbung membersartists,country,venue,"type  (individual, collective,)","status  (invited artist,guest artist, guest collaborator)",number of guests,invited by / invited as part of,comments/ subproject,website,role (harvester),guests
Hōhua Ropate Kurene,,,individual,guest artist,,FAFSWAG,,,,
Ilalio Loau,,,individual,guest artist,,FAFSWAG,,,,
James Waititi,,,individual,guest artist,,FAFSWAG,,,,
Jermaine Dean,,,individual,guest artist,,FAFSWAG,,,,
Moe Laga-Toleafoa,,,individual,guest artist,,FAFSWAG,,,,
Nahora Ioane,,,individual,guest artist,,FAFSWAG,,,,
Pati Solomona Tyrell,,,individual,guest artist,,FAFSWAG,,,,
Tanu Gago,,,individual,guest artist,,FAFSWAG,,,,
Tapuaki Helu,,,individual,guest artist,,FAFSWAG,,,,
Tim Swann,,,individual,guest artist,,FAFSWAG,,,,
Más Arte Más Acción,Colombia,Karlslaue (greenhaus)/Karslaue (Karlswiese),collective,invited artist,,ruanrupa,,<https://documenta-fifteen.de/en/lumbung-members-artists/mas-arte-mas-accion/>,,
Ailie Rutherford,,,individual,guest artist,,Más Arte Más Acción,,,,
Alejandra Rojas,,,individual,guest artist,,Más Arte Más Acción,,,,
Alejandro Castillejo,,,individual,guest artist,,Más Arte Más Acción,,,,
Alison Turnbull,,,individual,guest artist,,Más Arte Más Acción,,,,
Ana Garzón,,,individual,guest artist,,Más Arte Más Acción,,,,
Andrés Torres,,,individual,guest artist,,Más Arte Más Acción,,,,
Andrés Veléz,,,individual,guest artist,,Más Arte Más Acción,,,,
Apichatpong Weerasethakul,,,individual,guest artist,,Más Arte Más Acción,,,,
Ariane Andereggen,,,individual,guest artist,,Más Arte Más Acción,,,,
Arianne Kamsteeg,,,individual,guest artist,,Más Arte Más Acción,,,,
Carmenza Rojas Potes,,,individual,guest artist,,Más Arte Más Acción,,,,
Carolina Rincón,,,individual,guest artist,,Más Arte Más Acción,,,,
Claudia Howald,,,individual,guest artist,,Más Arte Más Acción,,,,
David Paredes,,,individual,guest artist,,Más Arte Más Acción,,,,
David Suárez,,,individual,guest artist,,Más Arte Más Acción,,,,
Diego Aretz,,,individual,guest artist,,Más Arte Más Acción,,,,
Elizabeth Gallón,,,individual,guest artist,,Más Arte Más Acción,,,,
Elkin Calderón,,,individual,guest artist,,Más Arte Más Acción,,,,
Enrique González,,,individual,guest artist,,Más Arte Más Acción,,,,
Ericka Flórez,,,individual,guest artist,,Más Arte Más Acción,,,,
Erna Von Der Walde,,,individual,guest artist,,Más Arte Más Acción,,,,
Fausto Moreno,,,individual,guest artist,,Más Arte Más Acción,,,,
Fernando Arias,,,individual,guest artist,,Más Arte Más Acción,,,,
Gregorio Gómez,,,individual,guest artist,,Más Arte Más Acción,,,,
Hortencio Palacios,,,individual,guest artist,,Más Arte Más Acción,,,,
Jhon Esteban Lasso,,,individual,guest artist,,Más Arte Más Acción,,,,
Joep Van Lieshout,,,individual,guest artist,,Más Arte Más Acción,,,,
Jonathan Colin,,,individual,guest artist,,Más Arte Más Acción,,,,
José Fernando Serrano,,,individual,guest artist,,Más Arte Más Acción,,,,
Karina Angulo,,,individual,guest artist,,Más Arte Más Acción,,,,
Kathrin Wildner,,,individual,guest artist,,Más Arte Más Acción,,,,
Knowbotiq,,,individual,guest artist,,Más Arte Más Acción,,,,
Yvonne Wilheim,,,individual,guest artist,,Más Arte Más Acción,,,,
Christian Huebler,,,individual,guest artist,,Más Arte Más Acción,,,,
Kurt Hollander,,,individual,guest artist,,Más Arte Más Acción,,,,
Leonel Vásquez,,,individual,guest artist,,Más Arte Más Acción,,,,
Leyner Palacios,,,individual,guest artist,,Más Arte Más Acción,,,,
Liliana Gómez,,,individual,guest artist,,Más Arte Más Acción,,,,
Lina Bryyi Moreno,,,individual,guest artist,,Más Arte Más Acción,,,,
Lorena Diez,,,individual,guest artist,,Más Arte Más Acción,,,,
Magdalena Wallpot,,,individual,guest artist,,Más Arte Más Acción,,,,
Manuel David Riascos,,,individual,guest artist,,Más Arte Más Acción,,,,
María Andrade,,,individual,guest artist,,Más Arte Más Acción,,,,
Miguel Navas,,,individual,guest artist,,Más Arte Más Acción,,,,
Natalia Arias,,,individual,guest artist,,Más Arte Más Acción,,,,
Osneyder Valoy,,,individual,guest artist,,Más Arte Más Acción,,,,
Paola Pérez,,,individual,guest artist,,Más Arte Más Acción,,,,
Paula Andrea Orozco,,,individual,guest artist,,Más Arte Más Acción,,,,
Pilar Mendoza,,,individual,guest artist,,Más Arte Más Acción,,,,
Rossana Alarcón,,,individual,guest artist,,Más Arte Más Acción,,,,
Sandra Vega,,,individual,guest artist,,Más Arte Más Acción,,,,
Sina Ribak,,,individual,guest artist,,Más Arte Más Acción,,,,
Stefan Peters,,,individual,guest artist,,Más Arte Más Acción,,,,
Tahuanty Jacanamijoy,,,individual,guest artist,,Más Arte Más Acción,,,,
Ted Gaier,,,individual,guest artist,,Más Arte Más Acción,,,,
Teresa Feldmann,,,individual,guest artist,,Más Arte Más Acción,,,,
Velia Vidal,,,individual,guest artist,,Más Arte Más Acción,,,,
Walker & Bromwich,,,individual,guest artist,,Más Arte Más Acción,,,,
Yaisa Mariam Quintana,,,individual,guest artist,,Más Arte Más Acción,,,,
Yei Moreno,,,individual,guest artist,,Más Arte Más Acción,,,,
Victoria Lomasko,Russia,na,individual,invited artist,,ruanrupa,,<https://documenta-fifteen.de/en/lumbung-members-artists/victoria-lomasko/>,,
BOLOHO,China,Hubner areal,collective,invited artist,,ruanrupa,,<https://documenta-fifteen.de/en/lumbung-members-artists/boloho/>,,
BUBU刘嘉雯,,,individual,guest artist,,BOLOHO,,,,
CAT 黄婉珊,,,individual,guest artist,,BOLOHO,,,,
Feng Weijing 冯伟敬,,,individual,guest artist,,BOLOHO,,,,
Li Zhiyong 李致恿,,,individual,guest artist,,BOLOHO,,,,
Zhu Jianlin 朱建林,,,individual,guest artist,,BOLOHO,,,,
Li Xiaotian 李筱天,,,individual,guest artist,,BOLOHO,Reading Room,,,
Liu Di 刘菂,,,individual,guest artist,,BOLOHO,Reading Room,,,
Xie Siyan 谢思堰,,,individual,guest artist,,BOLOHO,Reading Room,,,
He Cong 贺聪,,,individual,guest artist,,BOLOHO,Facilitator,,,
Chen Yaxiu 陈亚秀,,,individual,guest artist,,BOLOHO,Contributors,,,
